//CoDeSys Mapping Export V1.2;;;;;
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first ;;;;;
;Зарезервировно@76;;;;A1_10
;Зарезервировно@77;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch13;>Достоверность значения@12;;;;A1_10
;di14;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch14;Значение@13;;;;A1_10
;Зарезервировно@78;;;;A1_10
;Зарезервировно@79;;;;A1_10
;Зарезервировно@80;;;;A1_10
;Зарезервировно@81;;;;A1_10
;Зарезервировно@82;;;;A1_10
;Зарезервировно@83;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch14;>Достоверность значения@13;;;;A1_10
;di15;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch15;Значение@14;;;;A1_10
;Зарезервировно@84;;;;A1_10
;Зарезервировно@85;;;;A1_10
;Зарезервировно@86;;;;A1_10
;Зарезервировно@87;;;;A1_10
;Зарезервировно@88;;;;A1_10
;Зарезервировно@89;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch15;>Достоверность значения@14;;;;A1_10
;di16;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch16;Значение@15;;;;A1_10
;Зарезервировно@90;;;;A1_10
;Зарезервировно@91;;;;A1_10
;Зарезервировно@92;;;;A1_10
;Зарезервировно@93;;;;A1_10
;Зарезервировно@94;;;;A1_10
;Зарезервировно@95;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch16;>Достоверность значения@15;;;;A1_10
;di17;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch17;Значение@16;;;;A1_10
;Зарезервировно@96;;;;A1_10
;Зарезервировно@97;;;;A1_10
;Зарезервировно@98;;;;A1_10
;Зарезервировно@99;;;;A1_10
;Зарезервировно@100;;;;A1_10
;Зарезервировно@101;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch17;>Достоверность значения@16;;;;A1_10
;di18;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch18;Значение@17;;;;A1_10
;Зарезервировно@102;;;;A1_10
;Зарезервировно@103;;;;A1_10
;Зарезервировно@104;;;;A1_10
;Зарезервировно@105;;;;A1_10
;Зарезервировно@106;;;;A1_10
;Зарезервировно@107;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch18;>Достоверность значения@17;;;;A1_10
;di19;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch19;Значение@18;;;;A1_10
;Зарезервировно@108;;;;A1_10
;Зарезервировно@109;;;;A1_10
;Зарезервировно@110;;;;A1_10
;Зарезервировно@111;;;;A1_10
;Зарезервировно@112;;;;A1_10
;Зарезервировно@113;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch19;>Достоверность значения@18;;;;A1_10
;di20;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch20;Значение@19;;;;A1_10
;Зарезервировно@114;;;;A1_10
;Зарезервировно@115;;;;A1_10
;Зарезервировно@116;;;;A1_10
;Зарезервировно@117;;;;A1_10
;Зарезервировно@118;;;;A1_10
;Зарезервировно@119;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch20;>Достоверность значения@19;;;;A1_10
;di21;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch21;Значение@20;;;;A1_10
